2016-07-15 12:48,194, Tag Name,Iteration,Minibatch Loss,Traning Accuracy,Elapsed Time,Testing Accuracy
2016-07-14 18:03,185,cnn_net_2_2_2_4,16640,3.427766,0.08594,0.00243,
2016-07-14 18:03,202,cnn_net_2_2_2_4,17920,4.472175,0.07031,0.00238,
2016-07-14 18:03,220,cnn_net_2_2_2_4,19200,4.967599,0.09375,0.00235,
2016-07-14 18:03,583,cnn_net_2_2_2_4,20480,3.044715,0.08594,0.00239,
2016-07-14 18:03,601,cnn_net_2_2_2_4,21760,3.600236,0.03125,0.00229,
2016-07-14 18:03,618,cnn_net_2_2_2_4,23040,3.43142,0.125,0.00231,
2016-07-14 18:03,636,cnn_net_2_2_2_4,24320,2.999404,0.10156,0.00236,
2016-07-14 18:03,653,cnn_net_2_2_2_4,25600,2.978646,0.0625,0.00236,
2016-07-14 18:03,670,cnn_net_2_2_2_4,26880,4.251779,0.05469,0.00239,
2016-07-14 18:03,688,cnn_net_2_2_2_4,28160,2.687035,0.07812,0.00241,
2016-07-14 18:03,705,cnn_net_2_2_2_4,29440,3.025772,0.09375,0.00237,
2016-07-14 18:03,723,cnn_net_2_2_2_4,30720,3.028379,0.07031,0.00238,
2016-07-14 18:03,740,cnn_net_2_2_2_4,32000,2.564558,0.14062,0.0024,
2016-07-14 18:03,758,cnn_net_2_2_2_4,33280,3.046333,0.10938,0.00254,
2016-07-14 18:03,776,cnn_net_2_2_2_4,34560,2.96907,0.08594,0.00234,
2016-07-14 18:03,793,cnn_net_2_2_2_4,35840,2.673788,0.05469,0.0024,
2016-07-14 18:03,810,cnn_net_2_2_2_4,37120,2.489032,0.13281,0.00247,
2016-07-14 18:03,827,cnn_net_2_2_2_4,38400,2.724804,0.07031,0.00231,
2016-07-14 18:03,845,cnn_net_2_2_2_4,39680,2.810404,0.08594,0.00248,
2016-07-14 18:03,863,cnn_net_2_2_2_4,40960,3.007819,0.09375,0.00252,
2016-07-14 18:03,880,cnn_net_2_2_2_4,42240,2.711874,0.05469,0.00234,
2016-07-14 18:03,898,cnn_net_2_2_2_4,43520,2.773821,0.09375,0.00257,
2016-07-14 18:03,916,cnn_net_2_2_2_4,44800,2.615993,0.10938,0.00241,
2016-07-14 18:03,933,cnn_net_2_2_2_4,46080,2.775439,0.0625,0.00234,
2016-07-14 18:03,951,cnn_net_2_2_2_4,47360,2.61321,0.09375,0.00252,
2016-07-14 18:03,968,cnn_net_2_2_2_4,48640,3.878089,0.03906,0.00246,
2016-07-14 18:03,986,cnn_net_2_2_2_4,49920,2.458263,0.125,0.00236,
2016-07-14 18:03,3,cnn_net_2_2_2_4,51200,2.597482,0.09375,0.00231,
2016-07-14 18:03,21,cnn_net_2_2_2_4,52480,2.636007,0.07812,0.00251,
2016-07-14 18:03,38,cnn_net_2_2_2_4,53760,2.434834,0.14062,0.00234,
2016-07-14 18:03,55,cnn_net_2_2_2_4,55040,2.485006,0.13281,0.00231,
2016-07-14 18:03,72,cnn_net_2_2_2_4,56320,2.570785,0.0625,0.00236,
2016-07-14 18:03,90,cnn_net_2_2_2_4,57600,2.50114,0.09375,0.00231,
2016-07-14 18:03,107,cnn_net_2_2_2_4,58880,2.536626,0.08594,0.0024,
2016-07-14 18:03,124,cnn_net_2_2_2_4,60160,2.498567,0.07812,0.00239,
2016-07-14 18:03,141,cnn_net_2_2_2_4,61440,2.543775,0.09375,0.00242,
2016-07-14 18:03,159,cnn_net_2_2_2_4,62720,2.515646,0.10156,0.00235,
2016-07-14 18:03,176,cnn_net_2_2_2_4,64000,2.554285,0.0625,0.00247,
2016-07-14 18:03,193,cnn_net_2_2_2_4,65280,2.628477,0.0625,0.00237,
2016-07-14 18:03,210,cnn_net_2_2_2_4,66560,2.511963,0.09375,0.00241,
2016-07-14 18:03,227,cnn_net_2_2_2_4,67840,2.628612,0.07031,0.0023,
2016-07-14 18:03,246,cnn_net_2_2_2_4,69120,2.478158,0.0625,0.00236,
2016-07-14 18:03,264,cnn_net_2_2_2_4,70400,2.514538,0.0625,0.00237,
2016-07-14 18:03,281,cnn_net_2_2_2_4,71680,2.609907,0.07031,0.0024,
2016-07-14 18:03,298,cnn_net_2_2_2_4,72960,2.910329,0.11719,0.00237,
2016-07-14 18:03,315,cnn_net_2_2_2_4,74240,2.534961,0.07812,0.00237,
2016-07-14 18:03,619,cnn_net_2_2_2_4,75520,2.398624,0.10938,0.00234,
2016-07-14 18:03,637,cnn_net_2_2_2_4,76800,2.522575,0.09375,0.00252,
2016-07-14 18:03,654,cnn_net_2_2_2_4,78080,2.432452,0.09375,0.00234,
2016-07-14 18:03,672,cnn_net_2_2_2_4,79360,2.561632,0.05469,0.00241,
2016-07-14 18:03,689,cnn_net_2_2_2_4,80640,2.495255,0.05469,0.00251,
2016-07-14 18:03,707,cnn_net_2_2_2_4,81920,2.45197,0.07031,0.00243,
2016-07-14 18:03,724,cnn_net_2_2_2_4,83200,2.520958,0.0625,0.00226,
2016-07-14 18:03,740,cnn_net_2_2_2_4,84480,2.469689,0.07812,0.00232,
2016-07-14 18:03,758,cnn_net_2_2_2_4,85760,2.506528,0.09375,0.00241,
2016-07-14 18:03,776,cnn_net_2_2_2_4,87040,2.45584,0.07812,0.0025,
2016-07-14 18:03,793,cnn_net_2_2_2_4,88320,2.457565,0.09375,0.00239,
2016-07-14 18:03,810,cnn_net_2_2_2_4,89600,2.466622,0.10156,0.00236,
2016-07-14 18:03,828,cnn_net_2_2_2_4,90880,2.453796,0.07031,0.00236,
2016-07-14 18:03,845,cnn_net_2_2_2_4,92160,2.522053,0.07812,0.00238,
2016-07-14 18:03,862,cnn_net_2_2_2_4,93440,2.496175,0.04688,0.00239,
2016-07-14 18:03,880,cnn_net_2_2_2_4,94720,2.516744,0.05469,0.00248,
2016-07-14 18:03,897,cnn_net_2_2_2_4,96000,2.362584,0.14062,0.00239,
2016-07-14 18:03,914,cnn_net_2_2_2_4,97280,2.463451,0.10938,0.00234,
2016-07-14 18:03,932,cnn_net_2_2_2_4,98560,2.423014,0.07812,0.0024,
2016-07-14 18:03,950,cnn_net_2_2_2_4,99840,2.463059,0.07031,0.00251,
2016-07-14 18:03,968,cnn_net_2_2_2_4,101120,2.432566,0.07031,0.00244,
2016-07-14 18:03,984,cnn_net_2_2_2_4,102400,2.407885,0.10156,0.00238,
2016-07-14 18:03,2,cnn_net_2_2_2_4,103680,2.408412,0.08594,0.00243,
2016-07-14 18:03,19,cnn_net_2_2_2_4,104960,2.409476,0.10938,0.00233,
2016-07-14 18:03,37,cnn_net_2_2_2_4,106240,2.395668,0.08594,0.00238,
2016-07-14 18:03,54,cnn_net_2_2_2_4,107520,2.398403,0.10156,0.0024,
2016-07-14 18:03,71,cnn_net_2_2_2_4,108800,2.427318,0.07812,0.00238,
2016-07-14 18:03,88,cnn_net_2_2_2_4,110080,2.394171,0.10156,0.00249,
2016-07-14 18:03,105,cnn_net_2_2_2_4,111360,2.459045,0.0625,0.00238,
2016-07-14 18:03,122,cnn_net_2_2_2_4,112640,2.368577,0.10938,0.00234,
2016-07-14 18:03,139,cnn_net_2_2_2_4,113920,2.469352,0.03125,0.00234,
2016-07-14 18:03,156,cnn_net_2_2_2_4,115200,2.416133,0.07812,0.00239,
2016-07-14 18:03,173,cnn_net_2_2_2_4,116480,2.439225,0.07812,0.00237,
2016-07-14 18:03,190,cnn_net_2_2_2_4,117760,2.384523,0.10156,0.00239,
