,Date,msec,Setting,Step,Elapsed Time,Metric1,Metric2,Metric3,Param1,Param2,Param3,Param4,Best,Random Best 1,Random Best 2,Random Best 0,Random Best 3,Random Best 4,Random Best 5,Random Best 6,Random Best 7,Random Best 8,Random Best 9
89,2016-09-03 4:02,49,filter:2-conv1:1-conv2:512-fc:2-Momentum,1_epoch,0.346,10.28,,,2,1,512,2,94.94,97.96,98.16,98.13,97.84,98.05,97.73,98.12,97.91,97.95,97.31
90,2016-09-03 4:02,150,filter:2-conv1:1-conv2:512-fc:1-Momentum,1_epoch,0.324,10.28,,,2,1,512,1,94.94,97.96,98.16,98.13,97.84,98.05,97.73,98.12,97.91,97.95,97.31
91,2016-09-03 4:02,393,filter:2-conv1:1-conv2:256-fc:512-Momentum,1_epoch,0.439,10.28,,,2,1,256,512,94.94,97.96,98.16,98.13,97.84,98.05,97.73,98.12,97.91,97.95,97.31
92,2016-09-03 4:02,719,filter:2-conv1:1-conv2:512-fc:8-Momentum,1_epoch,0.32,10.28,,,2,1,512,8,94.94,97.96,98.16,98.13,97.84,98.05,97.73,98.12,97.91,97.95,97.31
93,2016-09-03 4:02,895,filter:2-conv1:1-conv2:512-fc:32-Momentum,1_epoch,0.424,10.28,,,2,1,512,32,94.94,97.96,98.16,98.13,97.84,98.05,97.73,98.12,97.91,97.95,97.31
94,2016-09-03 4:02,26,filter:2-conv1:1-conv2:512-fc:4-Momentum,1_epoch,0.448,10.28,,,2,1,512,4,94.94,97.96,98.16,98.13,97.84,98.05,97.73,98.12,97.91,97.95,97.31
95,2016-09-03 4:02,114,filter:2-conv1:1-conv2:512-fc:16-Momentum,1_epoch,0.481,48.65,,,2,1,512,16,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.31
96,2016-09-03 4:02,420,filter:2-conv1:1-conv2:512-fc:64-Momentum,1_epoch,0.321,10.28,,,2,1,512,64,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.31
97,2016-09-03 4:02,847,filter:2-conv1:1-conv2:512-fc:128-Momentum,1_epoch,0.371,10.28,,,2,1,512,128,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
98,2016-09-03 4:02,860,filter:2-conv1:1-conv2:512-fc:256-Momentum,1_epoch,0.351,10.28,,,2,1,512,256,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
99,2016-09-03 4:02,201,filter:2-conv1:1-conv2:512-fc:512-Momentum,1_epoch,0.5,10.28,,,2,1,512,512,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
100,2016-09-03 4:02,493,filter:2-conv1:2-conv2:1-fc:8-Momentum,1_epoch,0.141,29.07,,,2,2,1,8,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
101,2016-09-03 4:02,764,filter:2-conv1:2-conv2:1-fc:2-Momentum,1_epoch,0.248,10.28,,,2,2,1,2,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
102,2016-09-03 4:02,776,filter:2-conv1:2-conv2:1-fc:1-Momentum,1_epoch,0.183,10.28,,,2,2,1,1,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
103,2016-09-03 4:02,790,filter:2-conv1:2-conv2:1-fc:4-Momentum,1_epoch,0.151,10.28,,,2,2,1,4,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
104,2016-09-03 4:02,704,filter:2-conv1:2-conv2:1-fc:128-Momentum,1_epoch,0.156,10.28,,,2,2,1,128,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
