,Date,msec,Setting,Step,Elapsed Time,Metric1,Metric2,Metric3,Param1,Param2,Param3,Param4,Total Time,Best
174,2016-09-03 4:04,196,filter:2-conv1:2-conv2:128-fc:16-Momentum,1_epoch,0.311,87.07,,,2,2,128,16,42.289,95.73
175,2016-09-03 4:04,208,filter:2-conv1:2-conv2:128-fc:4-Momentum,1_epoch,0.315,10.28,,,2,2,128,4,42.604,95.73
176,2016-09-03 4:05,632,filter:2-conv1:2-conv2:128-fc:128-Momentum,1_epoch,0.195,93.36,,,2,2,128,128,42.799,95.73
177,2016-09-03 4:05,953,filter:2-conv1:2-conv2:128-fc:64-Momentum,1_epoch,0.274,93.83,,,2,2,128,64,43.073,95.73
178,2016-09-03 4:05,150,filter:2-conv1:2-conv2:128-fc:256-Momentum,1_epoch,0.29,94.91,,,2,2,128,256,43.363,95.73
179,2016-09-03 4:05,655,filter:2-conv1:2-conv2:128-fc:512-Momentum,1_epoch,0.224,10.28,,,2,2,128,512,43.587,95.73
180,2016-09-03 4:05,880,filter:2-conv1:2-conv2:256-fc:2-Momentum,1_epoch,0.231,10.28,,,2,2,256,2,43.818,95.73
181,2016-09-03 4:05,103,filter:2-conv1:2-conv2:256-fc:4-Momentum,1_epoch,0.319,10.28,,,2,2,256,4,44.137,95.73
182,2016-09-03 4:05,347,filter:2-conv1:2-conv2:256-fc:8-Momentum,1_epoch,0.378,10.28,,,2,2,256,8,44.515,95.73
183,2016-09-03 4:05,371,filter:2-conv1:2-conv2:256-fc:1-Momentum,1_epoch,0.326,10.28,,,2,2,256,1,44.841,95.73
184,2016-09-03 4:05,522,filter:2-conv1:2-conv2:256-fc:32-Momentum,1_epoch,0.248,10.28,,,2,2,256,32,45.089,95.73
